"03-24-18_data_table_logger_20288026"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
0,0.43,0.155336
10,0.43,0.155336
20,0.43,0.155336
30,0.21,0.0827854
40,0.21,0.0827854
50,0.21,0.0827854
60,0.43,0.155336
70,0.43,0.155336
80,0.43,0.155336
90,0.43,0.155336
100,0.43,0.155336
110,0.43,0.155336
120,0.43,0.155336
130,0.43,0.155336
140,0.21,0.0827854
150,0.43,0.155336
160,0.43,0.155336
170,0.43,0.155336
180,0.21,0.0827854
190,0.43,0.155336
200,0.43,0.155336
210,0.21,0.0827854
220,0.43,0.155336
230,0.43,0.155336
240,0.43,0.155336
250,0.21,0.0827854
260,0.43,0.155336
270,0.21,0.0827854
280,0.43,0.155336
290,0.43,0.155336
300,0.43,0.155336
310,0.43,0.155336
320,0.43,0.155336
330,0.43,0.155336
340,0.43,0.155336
350,0.43,0.155336
360,0.43,0.155336
370,0.43,0.155336
380,0.43,0.155336
390,0.21,0.0827854
400,0.21,0.0827854
410,0.43,0.155336
420,0.43,0.155336
430,0.43,0.155336
440,0.43,0.155336
450,0.21,0.0827854
460,0.43,0.155336
470,0.21,0.0827854
480,0.43,0.155336
490,0.43,0.155336
500,0.43,0.155336
510,0.43,0.155336
520,0.43,0.155336
530,0.21,0.0827854
540,0.21,0.0827854
550,0.43,0.155336
560,0.43,0.155336
570,0.21,0.0827854
580,0.43,0.155336
590,0.43,0.155336
600,0.43,0.155336
610,0.43,0.155336
620,0.21,0.0827854
630,0.43,0.155336
640,0.21,0.0827854
650,0.21,0.0827854
660,0.43,0.155336
670,0.21,0.0827854
680,0.43,0.155336
690,0.21,0.0827854
700,0.43,0.155336
710,0.43,0.155336
720,0.43,0.155336
730,0.21,0.0827854
740,0.21,0.0827854
750,0.43,0.155336
760,0.21,0.0827854
770,0.43,0.155336
780,0.43,0.155336
790,0.43,0.155336
800,0.43,0.155336
810,0.43,0.155336
820,0.43,0.155336
830,0.43,0.155336
840,0.21,0.0827854
850,0.21,0.0827854
860,0.21,0.0827854
870,0.43,0.155336
880,0.43,0.155336
890,0.21,0.0827854
900,0.43,0.155336
910,0.21,0.0827854
920,0.43,0.155336
930,0.21,0.0827854
940,0.21,0.0827854
950,0.43,0.155336
960,0.43,0.155336
970,0.21,0.0827854
980,0.43,0.155336
990,0.43,0.155336
1000,0.43,0.155336
1010,0.43,0.155336
1020,0.43,0.155336
1030,0.43,0.155336
1040,0.43,0.155336
1050,0.21,0.0827854
1060,0.21,0.0827854
1070,0.21,0.0827854
1080,0.43,0.155336
1090,0.43,0.155336
1100,0.43,0.155336
1110,0.43,0.155336
1120,0.43,0.155336
1130,0.43,0.155336
1140,0.43,0.155336
1150,0.43,0.155336
1160,0.43,0.155336
1170,0.43,0.155336
1180,0.43,0.155336
1190,0.43,0.155336
1200,0.43,0.155336
1210,0.43,0.155336
1220,0.21,0.0827854
1230,0.43,0.155336
1240,0.43,0.155336
1250,0.43,0.155336
1260,0.43,0.155336
1270,0.43,0.155336
1280,0.43,0.155336
1290,0.21,0.0827854
1300,0.43,0.155336
1310,0.43,0.155336
1320,0.43,0.155336
1330,0.43,0.155336
1340,0.43,0.155336
1350,0.43,0.155336
