"03-30-18_data_table_logger_20288026"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
0,0.43,0.155336
10,0.43,0.155336
20,0.43,0.155336
30,0.43,0.155336
40,0.43,0.155336
50,0.43,0.155336
60,0.43,0.155336
70,0.43,0.155336
80,0.43,0.155336
90,0.43,0.155336
100,0.43,0.155336
110,0.43,0.155336
120,0.43,0.155336
130,0.43,0.155336
140,0.43,0.155336
150,0.43,0.155336
160,0.43,0.155336
170,0.43,0.155336
180,0.43,0.155336
190,0.43,0.155336
200,0.43,0.155336
210,0.43,0.155336
220,0.43,0.155336
230,0.43,0.155336
240,0.43,0.155336
250,0.43,0.155336
260,0.43,0.155336
270,0.43,0.155336
280,0.43,0.155336
290,0.43,0.155336
300,0.43,0.155336
310,0.43,0.155336
320,0.43,0.155336
330,0.43,0.155336
340,0.43,0.155336
350,0.43,0.155336
360,0.43,0.155336
370,0.43,0.155336
380,0.43,0.155336
390,0.43,0.155336
400,0.43,0.155336
410,0.43,0.155336
420,0.43,0.155336
430,0.43,0.155336
440,0.43,0.155336
450,0.43,0.155336
460,0.43,0.155336
470,0.43,0.155336
480,0.43,0.155336
490,0.43,0.155336
500,0.43,0.155336
510,0.43,0.155336
520,0.43,0.155336
530,0.43,0.155336
540,0.43,0.155336
550,0.43,0.155336
560,0.43,0.155336
570,0.43,0.155336
580,0.43,0.155336
590,0.43,0.155336
600,0.43,0.155336
610,0.43,0.155336
620,0.43,0.155336
630,0.43,0.155336
640,0.43,0.155336
650,0.43,0.155336
660,0.43,0.155336
670,0.43,0.155336
680,0.43,0.155336
690,0.43,0.155336
700,0.43,0.155336
710,0.43,0.155336
720,0.43,0.155336
730,0.43,0.155336
740,0.43,0.155336
750,0.43,0.155336
760,0.43,0.155336
770,0.43,0.155336
780,0.43,0.155336
790,0.43,0.155336
800,0.43,0.155336
810,0.43,0.155336
820,0.43,0.155336
830,0.43,0.155336
840,0.43,0.155336
850,0.43,0.155336
860,0.43,0.155336
870,0.43,0.155336
880,0.43,0.155336
890,0.43,0.155336
900,0.43,0.155336
910,0.43,0.155336
920,0.43,0.155336
930,0.43,0.155336
940,0.43,0.155336
950,0.43,0.155336
960,0.43,0.155336
970,0.43,0.155336
980,0.43,0.155336
990,0.43,0.155336
1000,0.43,0.155336
1010,0.43,0.155336
1020,0.43,0.155336
1030,0.43,0.155336
1040,0.43,0.155336
1050,0.43,0.155336
1060,0.43,0.155336
1070,0.43,0.155336
1080,0.43,0.155336
1090,0.43,0.155336
1100,0.43,0.155336
1110,0.43,0.155336
1120,0.43,0.155336
1130,0.43,0.155336
1140,0.43,0.155336
1150,0.43,0.155336
1160,0.43,0.155336
1170,0.43,0.155336
1180,0.43,0.155336
1190,0.43,0.155336
1200,0.43,0.155336
1210,0.43,0.155336
1220,0.43,0.155336
1230,0.43,0.155336
1240,0.43,0.155336
1250,0.43,0.155336
1260,0.43,0.155336
1270,0.43,0.155336
1280,0.43,0.155336
1290,0.43,0.155336
1300,0.43,0.155336
1310,0.43,0.155336
1320,0.43,0.155336
1330,0.43,0.155336
1340,0.43,0.155336
1350,0.43,0.155336
1360,0.43,0.155336
1370,0.43,0.155336
1380,0.43,0.155336
